fips,PST045214,PST045213,PST040210,PST120214,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030213,LND110210,POP060210
31127,7175,7178,7248,-1.0,-1.0,7248,6.1,21.1,17.5,50.3,96.5,1.1,0.3,0.6,0.0,1.4,2.4,94.5,82.4,1.4,2.8,92.2,24.9,674,16.7,3482,68.3,17.0,84400,3001,2.23,25269,42672,10.4,191,1455,-0.9,480,757,0.0,0.0,0.0,0.0,0.0,0.0,0,59941,59321,8542,6975,9,407.38,17.8
31129,4369,4395,4500,-2.9,-2.3,4500,4.5,20.6,26.2,50.0,98.0,0.2,0.4,0.2,0.0,1.1,2.2,96.0,87.7,0.9,3.1,93.0,13.7,469,18.5,2449,76.1,6.6,52300,2119,2.08,22448,37594,11.1,170,1123,0.1,341,487,0.0,0.0,0.0,0.0,0.0,0.0,0,147022,53345,11844,2118,2,575.16,7.8
31131,15797,15717,15740,0.4,-0.1,15740,6.4,23.5,19.4,51.0,96.9,0.6,0.5,0.6,0.1,1.2,6.5,90.8,83.1,3.0,4.9,91.9,23.2,1209,21.2,7033,73.1,9.8,118000,6438,2.40,25855,50881,10.5,467,5127,-4.0,1165,1647,0.0,0.0,0.0,0.0,0.0,0.0,405399,238044,146815,9459,16980,33,615.63,25.6
31133,2702,2726,2773,-2.6,-1.7,2773,5.1,21.3,26.3,49.7,97.5,0.4,0.2,0.3,0.0,1.6,2.0,95.6,89.2,0.9,9.2,87.1,11.6,201,18.3,1590,74.9,6.3,57200,1314,2.07,25426,37321,21.5,66,519,9.5,248,226,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14362,5347,924,3,431.08,6.4
31135,2891,2910,2970,-2.7,-2.0,2970,6.7,23.9,21.0,49.2,98.4,0.8,0.2,0.2,0.0,0.3,3.4,95.4,87.0,0.7,3.4,91.0,22.3,154,17.3,1437,75.1,4.6,88500,1262,2.30,27931,58625,5.8,127,782,-3.0,281,295,0.0,0.0,0.0,0.0,0.0,14.2,0,128283,44652,15558,778,0,883.34,3.4
31137,9187,9197,9188,0.0,0.1,9188,7.1,24.6,19.5,50.6,97.6,0.5,0.6,0.3,0.0,1.0,5.1,93.1,87.1,1.9,3.4,94.2,21.7,722,14.1,4191,72.1,10.7,100700,3808,2.35,26856,50000,9.1,330,3908,3.0,846,1198,0.0,0.0,0.0,0.0,0.0,0.0,0,152000,94533,10350,9077,14,539.79,17.0
31139,7202,7164,7266,-0.9,-1.4,7266,5.9,24.6,18.1,49.4,98.3,0.3,0.3,0.4,0.0,0.7,1.5,97.0,91.9,0.5,2.1,93.1,18.8,709,18.2,3211,80.2,3.6,97000,2916,2.42,24830,51924,5.6,231,1455,-10.3,616,770,0.0,0.0,0.0,0.0,0.0,0.0,0,77571,41414,5717,1613,15,573.25,12.7
31141,32666,32513,32237,1.3,0.9,32237,7.5,26.2,15.4,49.6,96.3,0.7,1.2,0.6,0.2,1.0,15.8,82.2,86.2,6.8,14.2,88.6,18.5,2258,15.5,13538,71.5,17.7,115400,12477,2.56,24219,51213,10.7,1012,15574,-1.1,2095,3495,0.0,0.0,0.0,0.0,2.2,0.0,2353587,517777,494298,15542,39135,58,674.06,47.8
31143,5271,5250,5406,-2.5,-2.9,5406,5.6,23.5,19.8,50.3,98.0,0.3,0.3,0.2,0.0,1.1,3.5,95.0,88.6,2.5,4.1,93.6,20.3,423,18.9,2713,74.3,6.0,95200,2232,2.33,27639,52848,8.3,150,906,3.1,463,645,0.0,0.0,0.0,0.0,0.0,10.2,0,103321,35465,6843,1141,2,438.35,12.3
31145,10867,11023,11055,-1.7,-0.3,11055,6.0,22.8,18.7,50.1,96.6,0.9,0.7,0.4,0.0,1.3,4.9,92.3,87.1,1.4,2.6,93.7,19.5,890,11.3,5267,71.4,13.0,84200,4732,2.25,23320,42345,12.7,420,3875,-0.9,896,1202,0.0,0.0,0.0,0.0,0.0,0.0,0,140941,175905,16520,16396,6,716.99,15.4
31147,8128,8125,8363,-2.8,-2.8,8363,4.9,20.1,23.2,50.5,93.9,0.3,3.4,0.4,0.0,2.0,1.7,92.6,87.6,0.4,1.5,92.4,18.8,825,17.5,4365,77.0,7.3,62600,3779,2.14,23566,38582,17.2,259,1820,0.5,652,1084,0.0,0.0,0.0,0.0,0.0,16.1,0,186872,70387,8481,4122,3,551.84,15.2
31149,1443,1417,1528,-5.6,-7.3,1526,4.5,20.4,20.7,48.5,98.3,0.1,0.7,0.4,0.0,0.5,1.2,97.2,89.2,0.3,0.0,91.9,19.1,124,14.1,905,83.0,2.9,65200,666,2.08,24501,43500,10.0,45,342,1.2,215,0,0.0,0.0,0.0,0.0,0.0,0.0,0,23359,0,0,323,2,1008.32,1.5
31151,14252,14298,14200,0.4,0.7,14200,6.9,24.0,14.6,48.9,93.6,1.5,1.2,2.1,0.5,1.0,22.7,73.2,83.1,11.2,20.5,83.4,15.1,912,19.7,5782,65.6,16.8,94400,5051,2.63,20407,44109,16.8,299,5716,3.6,823,603,0.0,0.0,0.0,0.0,0.0,22.4,951752,157004,102412,7410,11308,8,574.02,24.7
