item,fips,fcode
MAN450207,20029,6021
MAN450207,20031,6021
MAN450207,20033,6021
MAN450207,20039,6021
MAN450207,20047,6021
MAN450207,20049,6021
MAN450207,20053,6021
MAN450207,20063,6021
MAN450207,20065,6021
MAN450207,20067,6021
MAN450207,20069,6021
MAN450207,20071,6021
MAN450207,20073,6021
MAN450207,20075,6021
MAN450207,20077,6021
MAN450207,20081,6021
MAN450207,20083,6021
MAN450207,20085,6021
MAN450207,20087,6021
MAN450207,20089,6021
MAN450207,20093,6021
MAN450207,20095,6021
MAN450207,20097,6021
MAN450207,20101,6021
MAN450207,20105,6021
MAN450207,20107,6021
MAN450207,20109,6021
MAN450207,20115,6021
MAN450207,20119,6021
MAN450207,20123,6021
MAN450207,20127,6021
MAN450207,20129,6021
MAN450207,20135,6021
MAN450207,20137,6021
MAN450207,20139,6021
MAN450207,20141,6021
MAN450207,20143,6021
MAN450207,20145,6021
MAN450207,20147,6021
MAN450207,20151,6021
MAN450207,20153,6021
MAN450207,20157,6021
MAN450207,20159,6021
MAN450207,20163,6021
MAN450207,20165,6021
MAN450207,20167,6021
MAN450207,20171,6021
MAN450207,20179,6021
MAN450207,20181,6021
MAN450207,20183,6021
MAN450207,20185,6021
MAN450207,20187,6021
MAN450207,20189,6021
MAN450207,20193,6021
MAN450207,20195,6021
MAN450207,20197,6021
MAN450207,20199,6021
MAN450207,20201,6021
MAN450207,20203,6021
MAN450207,20207,6021
MAN450207,21001,6021
MAN450207,21011,6021
MAN450207,21023,6021
MAN450207,21025,6021
MAN450207,21027,6021
MAN450207,21039,6021
MAN450207,21051,6021
MAN450207,21055,6021
MAN450207,21057,6021
MAN450207,21061,6021
MAN450207,21063,6021
MAN450207,21065,6021
MAN450207,21069,6021
MAN450207,21071,6021
MAN450207,21077,6021
MAN450207,21079,6021
MAN450207,21087,6021
MAN450207,21095,6021
MAN450207,21105,6021
MAN450207,21109,6021
MAN450207,21115,6021
MAN450207,21119,6021
MAN450207,21127,6021
MAN450207,21129,6021
MAN450207,21131,6021
MAN450207,21133,6021
MAN450207,21135,6021
MAN450207,21139,6021
MAN450207,21143,6021
MAN450207,21147,6021
MAN450207,21149,6021
MAN450207,21153,6021
MAN450207,21159,6021
MAN450207,21165,6021
MAN450207,21175,6021
MAN450207,21181,6021
MAN450207,21187,6021
MAN450207,21189,6021
MAN450207,21197,6021
MAN450207,21201,6021
MAN450207,21203,6021
MAN450207,21215,6021
MAN450207,21219,6021
MAN450207,21223,6021
MAN450207,21233,6021
MAN450207,21237,6021
MAN450207,22007,6021
MAN450207,22009,6021
MAN450207,22021,6021
MAN450207,22023,6021
MAN450207,22025,6021
MAN450207,22027,6021
MAN450207,22029,6021
MAN450207,22035,6021
MAN450207,22037,6021
MAN450207,22041,6021
MAN450207,22043,6021
MAN450207,22059,6021
MAN450207,22065,6021
MAN450207,22077,6021
MAN450207,22081,6021
MAN450207,22083,6021
MAN450207,22091,6021
MAN450207,22107,6021
MAN450207,22115,6021
MAN450207,22123,6021
MAN450207,24039,6021
MAN450207,25007,6021
MAN450207,25019,6021
MAN450207,26001,6021
MAN450207,26013,6021
MAN450207,26019,6021
MAN450207,26031,6021
MAN450207,26071,6021
MAN450207,26079,6021
MAN450207,26083,6021
MAN450207,26085,6021
MAN450207,26089,6021
MAN450207,26095,6021
MAN450207,26097,6021
MAN450207,26113,6021
MAN450207,26119,6021
MAN450207,26131,6021
MAN450207,26135,6021
MAN450207,26141,6021
MAN450207,26143,6021
MAN450207,26153,6021
MAN450207,27001,6021
MAN450207,27011,6021
MAN450207,27021,6021
MAN450207,27031,6021
MAN450207,27051,6021
MAN450207,27069,6021
MAN450207,27073,6021
MAN450207,27077,6021
MAN450207,27081,6021
MAN450207,27087,6021
MAN450207,27089,6021
MAN450207,27101,6021
MAN450207,27107,6021
MAN450207,27115,6021
MAN450207,27125,6021
MAN450207,27133,6021
MAN450207,27151,6021
MAN450207,27155,6021
MAN450207,27159,6021
MAN450207,27167,6021
MAN450207,27173,6021
MAN450207,28001,6021
MAN450207,28009,6021
MAN450207,28015,6021
MAN450207,28019,6021
MAN450207,28021,6021
MAN450207,28037,6021
MAN450207,28039,6021
MAN450207,28041,6021
MAN450207,28055,6021
MAN450207,28063,6021
MAN450207,28065,6021
MAN450207,28069,6021
MAN450207,28097,6021
MAN450207,28119,6021
MAN450207,28125,6021
MAN450207,28127,6021
MAN450207,28135,6021
MAN450207,28143,6021
MAN450207,28155,6021
MAN450207,28157,6021
MAN450207,29003,6021
MAN450207,29005,6021
MAN450207,29013,6021
MAN450207,29015,6021
MAN450207,29017,6021
MAN450207,29025,6021
MAN450207,29033,6021
MAN450207,29035,6021
MAN450207,29039,6021
MAN450207,29041,6021
MAN450207,29045,6021
MAN450207,29049,6021
MAN450207,29057,6021
MAN450207,29061,6021
MAN450207,29063,6021
MAN450207,29075,6021
MAN450207,29081,6021
MAN450207,29085,6021
MAN450207,29087,6021
MAN450207,29089,6021
MAN450207,29093,6021
MAN450207,29103,6021
MAN450207,29111,6021
MAN450207,29121,6021
MAN450207,29123,6021
MAN450207,29125,6021
MAN450207,29129,6021
MAN450207,29133,6021
MAN450207,29149,6021
MAN450207,29153,6021
MAN450207,29169,6021
MAN450207,29171,6021
MAN450207,29177,6021
MAN450207,29179,6021
MAN450207,29181,6021
MAN450207,29185,6021
MAN450207,29197,6021
MAN450207,29199,6021
MAN450207,29203,6021
MAN450207,29205,6021
MAN450207,29209,6021
MAN450207,29223,6021
MAN450207,29227,6021
MAN450207,30001,6021
MAN450207,30003,6021
MAN450207,30005,6021
MAN450207,30007,6021
MAN450207,30009,6021
MAN450207,30011,6021
MAN450207,30015,6021
MAN450207,30017,6021
MAN450207,30019,6021
MAN450207,30021,6021
MAN450207,30023,6021
MAN450207,30025,6021
MAN450207,30027,6021
MAN450207,30033,6021
MAN450207,30035,6021
MAN450207,30037,6021
MAN450207,30039,6021
MAN450207,30041,6021
MAN450207,30043,6021
MAN450207,30045,6021
MAN450207,30051,6021
MAN450207,30053,6021
MAN450207,30055,6021
MAN450207,30057,6021
MAN450207,30059,6021
MAN450207,30061,6021
MAN450207,30065,6021
MAN450207,30067,6021
MAN450207,30069,6021
MAN450207,30071,6021
MAN450207,30073,6021
MAN450207,30075,6021
MAN450207,30077,6021
MAN450207,30079,6021
MAN450207,30083,6021
MAN450207,30085,6021
MAN450207,30087,6021
MAN450207,30089,6021
MAN450207,30091,6021
MAN450207,30093,6021
MAN450207,30095,6021
MAN450207,30097,6021
MAN450207,30099,6021
MAN450207,30101,6021
MAN450207,30103,6021
MAN450207,30105,6021
MAN450207,30107,6021
MAN450207,30109,6021
MAN450207,31003,6021
MAN450207,31005,6021
MAN450207,31007,6021
MAN450207,31009,6021
MAN450207,31011,6021
MAN450207,31013,6021
MAN450207,31015,6021
MAN450207,31017,6021
MAN450207,31021,6021
MAN450207,31025,6021
MAN450207,31027,6021
MAN450207,31029,6021
MAN450207,31031,6021
MAN450207,31033,6021
MAN450207,31035,6021
MAN450207,31039,6021
MAN450207,31041,6021
MAN450207,31045,6021
MAN450207,31049,6021
MAN450207,31057,6021
MAN450207,31059,6021
MAN450207,31061,6021
MAN450207,31063,6021
MAN450207,31065,6021
MAN450207,31069,6021
MAN450207,31071,6021
MAN450207,31073,6021
MAN450207,31075,6021
MAN450207,31077,6021
MAN450207,31083,6021
MAN450207,31085,6021
MAN450207,31087,6021
MAN450207,31089,6021
MAN450207,31091,6021
MAN450207,31093,6021
MAN450207,31097,6021
MAN450207,31099,6021
MAN450207,31101,6021
MAN450207,31103,6021
MAN450207,31105,6021
MAN450207,31107,6021
MAN450207,31111,6021
MAN450207,31113,6021
